suburb,state,postCode,lat,lng
Australian National University,ACT,200,-35.28,149.12
Barton,ACT,221,-35.2,149.1
Darwin,NT,800,-12.8,130.96
Darwin,NT,801,-12.8,130.96
Parap,NT,804,-12.43,130.84
Alawa,NT,810,-12.38,130.88
Brinkin,NT,810,-12.38,130.88
Casuarina,NT,810,-12.38,130.88
Coconut Grove,NT,810,-12.38,130.88
Jingili,NT,810,-12.38,130.88
Lee Point,NT,810,-12.38,130.88
Lyons,NT,810,-12.38,130.88
Millner,NT,810,-12.38,130.88
Moil,NT,810,-12.38,130.88
Muirhead,NT,810,-12.38,130.88
Nakara,NT,810,-12.38,130.88
Nightcliff,NT,810,-12.38,130.88
Rapid Creek,NT,810,-12.38,130.88
Tiwi,NT,810,-12.38,130.88
Wagaman,NT,810,-12.38,130.88
Wanguri,NT,810,-12.38,130.88
Casuarina,NT,811,-12.38,130.85
Anula,NT,812,-12.4,130.91
Buffalo Creek,NT,812,-12.4,130.91
Holmes,NT,812,-12.4,130.91
Karama,NT,812,-12.4,130.91
Leanyer,NT,812,-12.4,130.91
Malak,NT,812,-12.4,130.91
Marrara,NT,812,-12.4,130.91
Northlakes,NT,812,-12.4,130.91
Sanderson,NT,812,-12.4,130.91
Woodleigh Gardens,NT,812,-12.4,130.91
Wulagi,NT,812,-12.4,130.91
Sanderson,NT,813,0,0
Nightcliff,NT,814,-12.38,130.85
Charles Darwin University,NT,815,0,0
Bagot,NT,820,-12.41,130.86
Bayview,NT,820,-12.41,130.86
Charles Darwin,NT,820,-12.41,130.86
Coonawarra,NT,820,-12.41,130.86
Cullen Bay,NT,820,-12.41,130.86
Darwin DC,NT,820,-12.41,130.86
Darwin International Airport,NT,820,-12.41,130.86
Darwin MC,NT,820,-12.41,130.86
East Point,NT,820,-12.41,130.86
Eaton,NT,820,-12.41,130.86
Fannie Bay,NT,820,-12.41,130.86
Larrakeyah,NT,820,-12.41,130.86
Ludmilla,NT,820,-12.41,130.86
Parap,NT,820,-12.41,130.86
Raaf Base Darwin,NT,820,-12.41,130.86
Stuart Park,NT,820,-12.41,130.86
The Gardens,NT,820,-12.41,130.86
The Narrows,NT,820,-12.41,130.86
Winnellie,NT,820,-12.41,130.86
Woolner,NT,820,-12.41,130.86
Winnellie,NT,821,-12.43,130.88
Acacia Hills,NT,822,-12.8,131.13
Angurugu,NT,822,-12.8,131.13
Anindilyakwa,NT,822,-12.8,131.13
Annie River,NT,822,-12.8,131.13
Bathurst Island,NT,822,-12.8,131.13
Bees Creek,NT,822,-12.8,131.13
Belyuen,NT,822,-12.8,131.13
Black Jungle,NT,822,-12.8,131.13
Blackmore,NT,822,-12.8,131.13
Border Store,NT,822,-12.8,131.13
Burrundie,NT,822,-12.8,131.13
Bynoe,NT,822,-12.8,131.13
Bynoe Harbour,NT,822,-12.8,131.13
Camp Creek,NT,822,-12.8,131.13
Channel Island,NT,822,-12.8,131.13
Charles Darwin,NT,822,-12.8,131.13
Charlotte,NT,822,-12.8,131.13
Claravale,NT,822,-12.8,131.13
Cobourg,NT,822,-12.8,131.13
Collett Creek,NT,822,-12.8,131.13
Coomalie Creek,NT,822,-12.8,131.13
Cox Peninsula,NT,822,-12.8,131.13
Croker Island,NT,822,-12.8,131.13
Daly,NT,822,-12.8,131.13
Daly River,NT,822,-12.8,131.13
Darwin MC,NT,822,-12.8,131.13
Darwin River Dam,NT,822,-12.8,131.13
Delissaville,NT,822,-12.8,131.13
Douglas-Daly,NT,822,-12.8,131.13
East Arm,NT,822,-12.8,131.13
East Arnhem,NT,822,-12.8,131.13
Elrundie,NT,822,-12.8,131.13
Eva Valley,NT,822,-12.8,131.13
Finniss Valley,NT,822,-12.8,131.13
Fleming,NT,822,-12.8,131.13
Fly Creek,NT,822,-12.8,131.13
Freds Pass,NT,822,-12.8,131.13
Galiwinku,NT,822,-12.8,131.13
Glyde Point,NT,822,-12.8,131.13
Goulburn Island,NT,822,-12.8,131.13
Gunbalanya,NT,822,-12.8,131.13
Gunn Point,NT,822,-12.8,131.13
Hayes Creek,NT,822,-12.8,131.13
Hidden Valley,NT,822,-12.8,131.13
Hotham,NT,822,-12.8,131.13
Hughes,NT,822,-12.8,131.13
Kakadu,NT,822,-12.8,131.13
Koolpinyah,NT,822,-12.8,131.13
Lake Bennett,NT,822,-12.8,131.13
Lambells Lagoon,NT,822,-12.8,131.13
Litchfield Park,NT,822,-12.8,131.13
Livingstone,NT,822,-12.8,131.13
Lloyd Creek,NT,822,-12.8,131.13
Mandorah,NT,822,-12.8,131.13
Maningrida,NT,822,-12.8,131.13
Maranunga,NT,822,-12.8,131.13
Margaret River,NT,822,-12.8,131.13
Marrakai,NT,822,-12.8,131.13
Mcminns Lagoon,NT,822,-12.8,131.13
Mickett Creek,NT,822,-12.8,131.13
Middle Point,NT,822,-12.8,131.13
Milikapiti,NT,822,-12.8,131.13
Milingimbi,NT,822,-12.8,131.13
Millwood,NT,822,-12.8,131.13
Milyakburra,NT,822,-12.8,131.13
Minjilang,NT,822,-12.8,131.13
Mount Bundey,NT,822,-12.8,131.13
Murrumujuk,NT,822,-12.8,131.13
Nauiyu,NT,822,-12.8,131.13
Nemarluk,NT,822,-12.8,131.13
Nganmarriyanga,NT,822,-12.8,131.13
Nguiu,NT,822,-12.8,131.13
Numbulwar,NT,822,-12.8,131.13
Numburindi,NT,822,-12.8,131.13
Oenpelli,NT,822,-12.8,131.13
Palumpa,NT,822,-12.8,131.13
Peppimenarti,NT,822,-12.8,131.13
Pirlangimpi,NT,822,-12.8,131.13
Point Stephens,NT,822,-12.8,131.13
Point Stuart,NT,822,-12.8,131.13
Pularumpi,NT,822,-12.8,131.13
Rakula,NT,822,-12.8,131.13
Ramingining,NT,822,-12.8,131.13
Robin Falls,NT,822,-12.8,131.13
Rum Jungle,NT,822,-12.8,131.13
Sandpalms Roadhouse,NT,822,-12.8,131.13
Southport,NT,822,-12.8,131.13
Stapleton,NT,822,-12.8,131.13
Thamarrurr,NT,822,-12.8,131.13
Tipperary,NT,822,-12.8,131.13
Tivendale,NT,822,-12.8,131.13
Tiwi Islands,NT,822,-12.8,131.13
Tortilla Flats,NT,822,-12.8,131.13
Tumbling Waters,NT,822,-12.8,131.13
Umbakumba,NT,822,-12.8,131.13
Vernon Islands,NT,822,-12.8,131.13
Wadeye,NT,822,-12.8,131.13
Wagait Beach,NT,822,-12.8,131.13
Wak Wak,NT,822,-12.8,131.13
Warruwi,NT,822,-12.8,131.13
Weddell,NT,822,-12.8,131.13
West Arnhem,NT,822,-12.8,131.13
Wickham,NT,822,-12.8,131.13
Winnellie,NT,822,-12.8,131.13
Wishart,NT,822,-12.8,131.13
Woolaning,NT,822,-12.8,131.13
Berrimah,NT,828,-12.47,130.91
Knuckey Lagoon,NT,828,-12.47,130.91
Holtze,NT,829,-14.46,132.28
Pinelands,NT,829,-14.46,132.28
Archer,NT,830,-12.49,130.97
Driver,NT,830,-12.49,130.97
Durack,NT,830,-12.49,130.97
Farrar,NT,830,-12.49,130.97
Gray,NT,830,-12.49,130.97
Marlow Lagoon,NT,830,-12.49,130.97
Moulden,NT,830,-12.49,130.97
Palmerston,NT,830,-12.49,130.97
Shoal Bay,NT,830,-12.49,130.97
Woodroffe,NT,830,-12.49,130.97
Yarrawonga,NT,830,-12.49,130.97
Palmerston,NT,831,-12.48,130.98
Bakewell,NT,832,-12.49,130.99
Bellamack,NT,832,-12.49,130.99
Gunn,NT,832,-12.49,130.99
Johnston,NT,832,-12.49,130.99
Mitchell,NT,832,-12.49,130.99
Rosebery,NT,832,-12.49,130.99
Rosebery Heights,NT,832,-12.49,130.99
Zuccoli,NT,832,-12.49,130.99
Coolalinga,NT,835,-12.48,131.03
Howard Springs,NT,835,-12.48,131.03
Virginia,NT,835,-12.48,131.03
Girraween,NT,836,-12.53,131.1
Herbert,NT,836,-12.53,131.1
Humpty Doo,NT,836,-12.53,131.1
Manton,NT,837,-12.46,130.84
Noonamah,NT,837,-12.46,130.84
Berry Springs,NT,838,-12.71,131
Dundee Beach,NT,840,-12.72,130.35
Dundee Downs,NT,840,-12.72,130.35
Dundee Forest,NT,840,-12.72,130.35
Darwin River,NT,841,-12.8,130.96
Batchelor,NT,845,-13.04,131.07
Adelaide River,NT,846,-13.23,131.1
Pine Creek,NT,847,-13.82,131.84
Cossack,NT,850,-14.46,132.26
Emungalan,NT,850,-14.46,132.26
Katherine,NT,850,-14.46,132.26
Katherine East,NT,850,-14.46,132.26
Katherine South,NT,850,-14.46,132.26
Lansdowne,NT,850,-14.46,132.26
Katherine,NT,851,-14.46,132.26
Arnold,NT,852,-14.92,133.06
Baines,NT,852,-14.92,133.06
Barunga,NT,852,-14.92,133.06
Beswick,NT,852,-14.92,133.06
Beswick Creek,NT,852,-14.92,133.06
Binjari,NT,852,-14.92,133.06
Birdum,NT,852,-14.92,133.06
Bradshaw,NT,852,-14.92,133.06
Buchanan,NT,852,-14.92,133.06
Bulman Weemol,NT,852,-14.92,133.06
Creswell,NT,852,-14.92,133.06
Daguragu,NT,852,-14.92,133.06
Daly Waters,NT,852,-14.92,133.06
Delamere,NT,852,-14.92,133.06
Dunmarra,NT,852,-14.92,133.06
Edith,NT,852,-14.92,133.06
Elsey,NT,852,-14.92,133.06
Elsey Station,NT,852,-14.92,133.06
Florina,NT,852,-14.92,133.06
Flying Fox,NT,852,-14.92,133.06
Gregory,NT,852,-14.92,133.06
Gulung Mardrulk,NT,852,-14.92,133.06
Gurindji,NT,852,-14.92,133.06
Jilkminggan,NT,852,-14.92,133.06
Kalkarindji,NT,852,-14.92,133.06
Katherine,NT,852,-14.92,133.06
Lajamanu,NT,852,-14.92,133.06
Larrimah,NT,852,-14.92,133.06
Limmen,NT,852,-14.92,133.06
Manbulloo,NT,852,-14.92,133.06
Maranboy,NT,852,-14.92,133.06
Mataranka,NT,852,-14.92,133.06
Mcarthur,NT,852,-14.92,133.06
Miniyeri,NT,852,-14.92,133.06
Ngukurr,NT,852,-14.92,133.06
Nitmiluk,NT,852,-14.92,133.06
Pellew Islands,NT,852,-14.92,133.06
Pigeon Hole,NT,852,-14.92,133.06
Robinson River,NT,852,-14.92,133.06
Sturt Plateau,NT,852,-14.92,133.06
Tanami East,NT,852,-14.92,133.06
Timber Creek,NT,852,-14.92,133.06
Top Springs,NT,852,-14.92,133.06
Uralla,NT,852,-14.92,133.06
Venn,NT,852,-14.92,133.06
Victoria River,NT,852,-14.92,133.06
Victoria River Downs,NT,852,-14.92,133.06
Warumungu,NT,852,-14.92,133.06
Wave Hill,NT,852,-14.92,133.06
Wilton,NT,852,-14.92,133.06
Yarralin,NT,852,-14.92,133.06
Tindal,NT,853,0,0
Borroloola,NT,854,-16.82,137.15
King Ash Bay,NT,854,-16.82,137.15
Tennant Creek,NT,860,-19.65,134.19
Brunchilly,NT,861,-18.94,134.32
Tennant Creek,NT,861,-18.94,134.32
Avon Downs,NT,862,-20.23,137.76
Calvert,NT,862,-20.23,137.76
Cresswell Downs,NT,862,-20.23,137.76
Elliott,NT,862,-20.23,137.76
Helen Springs,NT,862,-20.23,137.76
Muckaty Station,NT,862,-20.23,137.76
Newcastle Waters,NT,862,-20.23,137.76
Nicholson,NT,862,-20.23,137.76
Pamayu,NT,862,-20.23,137.76
Phillip Creek Station,NT,862,-20.23,137.76
Renner Springs,NT,862,-20.23,137.76
Tablelands,NT,862,-20.23,137.76
Tennant Creek,NT,862,-20.23,137.76
Three Ways,NT,862,-20.23,137.76
Warrego,NT,862,-20.23,137.76
Wollogorang Station,NT,862,-20.23,137.76
Wycliffe Well,NT,862,-20.23,137.76
Alice Springs,NT,870,-12.44,130.84
Araluen,NT,870,-12.44,130.84
Arumbera,NT,870,-12.44,130.84
Braitling,NT,870,-12.44,130.84
Ciccone,NT,870,-12.44,130.84
Connellan,NT,870,-12.44,130.84
Desert Springs,NT,870,-12.44,130.84
East Side,NT,870,-12.44,130.84
Flynn,NT,870,-12.44,130.84
Gillen,NT,870,-12.44,130.84
Ilparpa,NT,870,-12.44,130.84
Irlpme,NT,870,-12.44,130.84
Larapinta,NT,870,-12.44,130.84
Mount Johns,NT,870,-12.44,130.84
Ross,NT,870,-12.44,130.84
Sadadeen,NT,870,-12.44,130.84
Stuart,NT,870,-12.44,130.84
The Gap,NT,870,-12.44,130.84
Undoolya,NT,870,-12.44,130.84
White Gums,NT,870,-12.44,130.84
Alice Springs,NT,871,-12.44,130.84
Aherrenge,NT,872,-21,134.38
Ali Curung,NT,872,-21,134.38
Alice Springs,NT,872,-21,134.38
Amata,NT,872,-21,134.38
Amoonguna,NT,872,-21,134.38
Ampilatwatja,NT,872,-21,134.38
Anatye,NT,872,-21,134.38
Anmatjere,NT,872,-21,134.38
Antewenegerrde,NT,872,-21,134.38
Areyonga,NT,872,-21,134.38
Atitjere,NT,872,-21,134.38
Ayers Rock,NT,872,-21,134.38
Barrow Creek,NT,872,-21,134.38
Burt Plain,NT,872,-21,134.38
Canteen Creek,NT,872,-21,134.38
Chilla Well,NT,872,-21,134.38
Costello,NT,872,-21,134.38
Davenport,NT,872,-21,134.38
Docker River,NT,872,-21,134.38
Engawala,NT,872,-21,134.38
Erldunda,NT,872,-21,134.38
Finke,NT,872,-21,134.38
Ghan,NT,872,-21,134.38
Haasts Bluff,NT,872,-21,134.38
Hale,NT,872,-21,134.38
Hart,NT,872,-21,134.38
Hart Range,NT,872,-21,134.38
Hermannsburg,NT,872,-21,134.38
Hugh,NT,872,-21,134.38
Imanpa,NT,872,-21,134.38
Ininti Store,NT,872,-21,134.38
Jay Creek,NT,872,-21,134.38
Kaltukatjara,NT,872,-21,134.38
Kintore,NT,872,-21,134.38
Kiwirrkurra,NT,872,-21,134.38
Kulgera,NT,872,-21,134.38
Kunparrka,NT,872,-21,134.38
Lake Mackay,NT,872,-21,134.38
Laramba,NT,872,-21,134.38
Mereenie,NT,872,-21,134.38
Mount Liebig,NT,872,-21,134.38
Mount Zeil,NT,872,-21,134.38
Mulga Bore,NT,872,-21,134.38
Murputja Homelands,NT,872,-21,134.38
Mutitjulu,NT,872,-21,134.38
Namatjira,NT,872,-21,134.38
Nyapari,NT,872,-21,134.38
Nyirripi,NT,872,-21,134.38
Papunya,NT,872,-21,134.38
Patjarr,NT,872,-21,134.38
Petermann,NT,872,-21,134.38
Pitjantjatjara Homelands,NT,872,-21,134.38
Sandover,NT,872,-21,134.38
Santa Teresa,NT,872,-21,134.38
Simpson,NT,872,-21,134.38
Tanami,NT,872,-21,134.38
Tara,NT,872,-21,134.38
Thangkenharenge,NT,872,-21,134.38
Ti Tree,NT,872,-21,134.38
Titjikala,NT,872,-21,134.38
Tjirrkarli,NT,872,-21,134.38
Tjukurla,NT,872,-21,134.38
Uluru,NT,872,-21,134.38
Umpangara,NT,872,-21,134.38
Urapuntja,NT,872,-21,134.38
Wallace Rockhole,NT,872,-21,134.38
Wanarn,NT,872,-21,134.38
Willowra,NT,872,-21,134.38
Wilora,NT,872,-21,134.38
Wingellina,NT,872,-21,134.38
Wutunugurra,NT,872,-21,134.38
Yuelamu,NT,872,-21,134.38
Yuendumu,NT,872,-21,134.38
Yulara,NT,872,-21,134.38
Ernabella,SA,872,-21,134.38
Fregon,SA,872,-21,134.38
Indulkana,SA,872,-21,134.38
Mimili,SA,872,-21,134.38
Gibson Desert North,WA,872,-21,134.38
Gibson Desert South,WA,872,-21,134.38
Ngaanyatjarra-Giles,WA,872,-21,134.38
Gapuwiyak,NT,880,-12.38,130.87
Gove,NT,880,-12.38,130.87
Gunyangara,NT,880,-12.38,130.87
Nhulunbuy,NT,880,-12.38,130.87
Yirrkala,NT,880,-12.38,130.87
Nhulunbuy,NT,881,-12.18,136.78
Alyangula,NT,885,0,0
Jabiru,NT,886,-12.38,130.89
Winnellie,NT,906,-12.43,130.88
Winnellie,NT,907,-12.43,130.88
Charles Darwin University,NT,909,0,0
Sydney,NSW,1001,-33.79,151.27
Sydney,NSW,1002,-33.79,151.27
Sydney,NSW,1003,-33.79,151.27
Sydney,NSW,1004,-33.79,151.27
Sydney,NSW,1005,-33.79,151.27
Sydney,NSW,1006,-33.79,151.27
Sydney,NSW,1007,-33.79,151.27
Sydney,NSW,1008,-33.79,151.27
Sydney,NSW,1009,-33.79,151.27
Sydney,NSW,1010,-33.79,151.27
Sydney,NSW,1011,-33.79,151.27
Sydney,NSW,1020,-33.79,151.27
Sydney,NSW,1021,-33.79,151.27
Sydney,NSW,1022,-33.79,151.27
Sydney,NSW,1023,-33.79,151.27
Sydney,NSW,1025,-33.79,151.27
Sydney,NSW,1026,-33.79,151.27
Sydney,NSW,1027,-33.79,151.27
Sydney,NSW,1028,-33.79,151.27
Sydney,NSW,1029,-33.79,151.27
Sydney,NSW,1030,-33.79,151.27
Sydney,NSW,1031,-33.79,151.27
Sydney,NSW,1032,-33.66,150.87
Sydney,NSW,1033,-33.79,151.27
Sydney,NSW,1034,-33.79,151.27
Sydney,NSW,1035,-33.79,151.27
Sydney,NSW,1036,-33.79,151.27
Sydney,NSW,1037,-33.79,151.27
Sydney,NSW,1038,-33.79,151.27
Sydney,NSW,1039,-33.79,151.27
Sydney,NSW,1040,-33.79,151.27
Sydney,NSW,1041,-33.79,151.27
Sydney,NSW,1042,-33.79,151.27
Sydney,NSW,1043,-33.79,151.27
Sydney,NSW,1044,-33.79,151.27
Sydney,NSW,1045,-33.79,151.27
Sydney,NSW,1046,-33.79,151.27
Sydney,NSW,1100,-33.79,151.27
Sydney,NSW,1101,-33.79,151.27
Sydney,NSW,1105,-33.79,151.27
Sydney,NSW,1106,-33.79,151.27
Sydney,NSW,1107,-33.79,151.27
Sydney,NSW,1108,-33.79,151.27
Sydney,NSW,1109,-33.79,151.27
Sydney,NSW,1110,-33.79,151.27
Sydney,NSW,1112,-33.79,151.27
Sydney,NSW,1113,-33.79,151.27
Sydney,NSW,1114,-33.79,151.27
Sydney,NSW,1115,-33.79,151.27
Sydney,NSW,1116,-33.67,150.87
Sydney,NSW,1117,-33.66,150.87
Sydney,NSW,1118,-33.79,151.27
Sydney,NSW,1119,-33.79,151.27
Sydney,NSW,1120,-33.79,151.27
Sydney,NSW,1121,-33.79,151.27
Sydney,NSW,1122,-33.79,151.27
Sydney,NSW,1123,-33.79,151.27
Sydney,NSW,1124,-33.79,151.27
Sydney,NSW,1125,-33.79,151.27
Sydney,NSW,1126,-33.79,151.27
Sydney,NSW,1127,-33.79,151.27
Sydney,NSW,1128,-33.79,151.27
Sydney,NSW,1129,-33.79,151.27
Sydney,NSW,1130,-33.79,151.27
Sydney,NSW,1131,-33.79,151.27
Sydney,NSW,1132,-33.66,150.87
Sydney,NSW,1133,-33.79,151.27
Sydney,NSW,1134,-33.79,151.27
Sydney,NSW,1135,-33.79,151.27
Sydney,NSW,1136,-33.79,151.27
Sydney,NSW,1137,-33.79,151.27
Sydney,NSW,1138,-33.79,151.27
Sydney,NSW,1139,-33.79,151.27
Sydney,NSW,1140,-33.79,151.27
Sydney,NSW,1141,-33.79,151.27
Sydney,NSW,1142,-33.79,151.27
Sydney,NSW,1143,-33.79,151.27
Sydney,NSW,1144,-33.79,151.27
Sydney,NSW,1145,-33.79,151.27
Sydney,NSW,1146,-33.79,151.27
Sydney,NSW,1147,-33.79,151.27
Sydney,NSW,1148,-33.79,151.27
Sydney,NSW,1149,-33.79,151.27
Sydney,NSW,1150,-33.79,151.27
Sydney,NSW,1151,-33.79,151.27
Sydney,NSW,1152,-33.79,151.27
Sydney,NSW,1153,-33.79,151.27
Sydney,NSW,1154,-33.79,151.27
Sydney,NSW,1155,-33.79,151.27
Sydney,NSW,1156,-33.79,151.27
Sydney,NSW,1157,-33.79,151.27
Sydney,NSW,1158,-33.79,151.27
Sydney,NSW,1159,-33.79,151.27
Sydney,NSW,1160,-33.79,151.27
Sydney,NSW,1161,-33.79,151.27
Sydney,NSW,1162,-33.79,151.27
Sydney,NSW,1163,-33.79,151.27
Sydney,NSW,1164,-33.79,151.27
Sydney,NSW,1165,-33.79,151.27
Sydney,NSW,1166,-33.79,151.27
Sydney,NSW,1167,-33.79,151.27
Sydney,NSW,1168,-33.79,151.27
Sydney,NSW,1169,-33.79,151.27
Sydney,NSW,1170,-33.79,151.27
Sydney,NSW,1171,-33.79,151.27
Sydney,NSW,1172,-33.79,151.27
Sydney,NSW,1173,-33.79,151.27
Sydney,NSW,1174,-33.79,151.27
Sydney,NSW,1175,-33.79,151.27
Sydney,NSW,1176,-33.79,151.27
Sydney,NSW,1177,-33.79,151.27
Sydney,NSW,1178,-33.79,151.27
Sydney,NSW,1179,-33.79,151.27
Sydney,NSW,1180,-33.79,151.27
Sydney,NSW,1181,-33.79,151.27
Sydney,NSW,1182,-33.79,151.27
Sydney,NSW,1183,-33.79,151.27
Sydney,NSW,1184,-33.79,151.27
Sydney,NSW,1185,-33.79,151.27
Sydney,NSW,1186,-33.79,151.27
Sydney,NSW,1187,-33.79,151.27
Sydney,NSW,1188,-33.79,151.27
Sydney,NSW,1189,-33.79,151.27
Sydney,NSW,1190,-33.79,151.27
Sydney,NSW,1191,-33.79,151.27
Sydney,NSW,1192,-34.79,147.69
Sydney,NSW,1193,-33.79,151.27
Sydney,NSW,1194,-33.79,151.27
Sydney,NSW,1195,-33.79,151.27
Sydney,NSW,1196,-33.79,151.27
Sydney,NSW,1197,-33.79,151.27
Sydney,NSW,1198,-33.79,151.27
Sydney,NSW,1199,-33.79,151.27
Sydney,NSW,1200,-33.79,151.27
Sydney,NSW,1201,-33.79,151.27
Sydney,NSW,1202,-33.79,151.27
Sydney,NSW,1203,-33.79,151.27
Sydney,NSW,1204,-33.79,151.27
Sydney,NSW,1205,-33.79,151.27
Sydney,NSW,1206,-33.79,151.27
Sydney,NSW,1207,-33.79,151.27
Haymarket,NSW,1208,-29.82,151.66
Australia Square,NSW,1209,-33.89,151.18
Australia Square,NSW,1210,-33.89,151.18
Australia Square,NSW,1211,-33.89,151.18
Australia Square,NSW,1212,-33.89,151.18
Australia Square,NSW,1213,-33.89,151.18
Australia Square,NSW,1214,-33.89,151.18
Australia Square,NSW,1215,-33.89,151.18
Grosvenor Place,NSW,1216,-33.74,151.03
Grosvenor Place,NSW,1217,-33.74,151.03
Grosvenor Place,NSW,1218,-33.74,151.03
Grosvenor Place,NSW,1219,-33.74,151.03
Grosvenor Place,NSW,1220,-33.74,151.03
Royal Exchange,NSW,1221,-33.87,151.21
Royal Exchange,NSW,1222,-33.87,151.21
Royal Exchange,NSW,1223,-33.87,151.21
Royal Exchange,NSW,1224,-33.87,151.21
Royal Exchange,NSW,1225,-33.87,151.21
Queen Victoria Building,NSW,1226,-33.87,151.21
Queen Victoria Building,NSW,1227,-33.87,151.21
Queen Victoria Building,NSW,1228,-33.87,151.21
Queen Victoria Building,NSW,1229,-33.87,151.21
Queen Victoria Building,NSW,1230,-33.87,151.21
Sydney South,NSW,1231,-33.82,151.04
Sydney South,NSW,1232,-33.82,151.04
Sydney South,NSW,1233,-33.82,151.04
Sydney South,NSW,1234,-33.82,151.04
Sydney South,NSW,1235,-33.82,151.04
Haymarket,NSW,1236,-29.82,151.66
Haymarket,NSW,1237,-29.82,151.66
Haymarket,NSW,1238,-29.82,151.66
Haymarket,NSW,1239,-29.82,151.66
Haymarket,NSW,1240,-29.82,151.66
Sydney,NSW,1291,-33.79,151.27
Sydney,NSW,1292,-33.79,151.27
Sydney,NSW,1293,-33.79,151.27
Sydney,NSW,1294,-33.79,151.27
Sydney,NSW,1295,-33.79,151.27
Sydney,NSW,1296,-33.79,151.27
Sydney,NSW,1297,-33.79,151.27
Sydney,NSW,1298,-33.79,151.27
Sydney,NSW,1299,-33.79,151.27
Darlinghurst,NSW,1300,-33.88,151.22
Eastern Suburbs MC,NSW,1311,0,0
Eastern Suburbs MC,NSW,1312,0,0
Eastern Suburbs MC,NSW,1313,0,0
Eastern Suburbs MC,NSW,1314,0,0
Eastern Suburbs MC,NSW,1315,0,0
Eastern Suburbs MC,NSW,1316,0,0
Eastern Suburbs MC,NSW,1317,0,0
Eastern Suburbs MC,NSW,1318,0,0
Eastern Suburbs MC,NSW,1319,0,0
Eastern Suburbs MC,NSW,1320,0,0
Eastern Suburbs MC,NSW,1321,0,0
Eastern Suburbs MC,NSW,1322,0,0
Eastern Suburbs MC,NSW,1323,0,0
Eastern Suburbs MC,NSW,1324,0,0
Eastern Suburbs MC,NSW,1325,0,0
Eastern Suburbs MC,NSW,1326,0,0
Eastern Suburbs MC,NSW,1327,0,0
Eastern Suburbs MC,NSW,1328,0,0
Eastern Suburbs MC,NSW,1329,0,0
Eastern Suburbs MC,NSW,1330,0,0
Eastern Suburbs MC,NSW,1331,0,0
Eastern Suburbs MC,NSW,1332,0,0
Eastern Suburbs MC,NSW,1333,0,0
Eastern Suburbs MC,NSW,1334,0,0
Potts Point,NSW,1335,-33.82,151.12
Kings Cross,NSW,1340,-35.54,148.02
Woollahra,NSW,1350,0,0
Bondi Junction,NSW,1355,-33.89,151.26
Double Bay,NSW,1360,-33.88,151.24
Ato Activity Statements,NSW,1391,0,0
Broadway,NSW,1401,-33.88,151.2
Southern Suburbs MC,NSW,1416,0,0
Southern Suburbs MC,NSW,1419,0,0
Strawberry Hills,NSW,1420,-33.73,150.93
Strawberry Hills,NSW,1422,-33.73,150.93
Strawberry Hills,NSW,1423,-33.73,150.93
Strawberry Hills,NSW,1424,-33.73,150.93
Strawberry Hills,NSW,1425,-33.73,150.93
Strawberry Hills,NSW,1426,-33.73,150.93
Strawberry Hills,NSW,1427,-33.73,150.93
Strawberry Hills,NSW,1428,-33.73,150.93
Strawberry Hills,NSW,1429,-33.73,150.93
Eveleigh,NSW,1430,-33.89,151.2
Alexandria,NSW,1435,-33.71,151.11
Waterloo,NSW,1440,-33.9,151.06
Waterloo,NSW,1441,-33.9,151.06
Rosebery,NSW,1445,-34.08,151.01
Camperdown,NSW,1450,-30.31,153.14
Botany,NSW,1455,-33.95,151.2
Mascot,NSW,1460,-33.93,151.21
Kensington,NSW,1465,-33.89,151.14
Unsw Sydney,NSW,1466,-33.91,151.23
Drummoyne,NSW,1470,-33.84,151.15
Marrickville,NSW,1475,-33.91,151.15
Marrickville,NSW,1476,-33.91,151.15
Kingsgrove,NSW,1480,-33.94,151.1
Hurstville BC,NSW,1481,0,0
Kingsgrove DC,NSW,1484,0,0
Kogarah,NSW,1485,0,0
Kogarah,NSW,1487,0,0
Miranda,NSW,1490,-34.04,151.11
Hurstville,NSW,1493,-33.98,151.09
Caringbah,NSW,1495,-34.05,151.12
Sutherland,NSW,1499,-34.02,151.06
West Chatswood,NSW,1515,-33.82,151.21
Northbridge,NSW,1560,0,0
Milsons Point,NSW,1565,-33.87,151.19
Artarmon,NSW,1570,-33.81,151.19
Crows Nest,NSW,1582,-33.83,151.2
Crows Nest,NSW,1585,-33.83,151.2
St Leonards,NSW,1590,-33.29,151.47
Lane Cove,NSW,1595,-33.79,151.19
Lane Cove,NSW,1597,-33.79,151.19
Lane Cove DC,NSW,1602,0,0
Lane Cove DC,NSW,1608,0,0
Lane Cove DC,NSW,1610,0,0
Lane Cove DC,NSW,1611,0,0
Hornsby,NSW,1630,-33.71,151.1
Hornsby Westfield,NSW,1635,0,0
Frenchs Forest,NSW,1639,-33.79,151.25
Frenchs Forest,NSW,1640,-33.79,151.25
Manly,NSW,1655,-33.33,151.51
Mona Vale,NSW,1658,-33.7,151.22
Mona Vale,NSW,1660,-33.7,151.22
North Ryde BC,NSW,1670,0,0
Gladesville,NSW,1675,-33.83,151.14
Ryde,NSW,1680,-33.76,151.14
West Ryde,NSW,1685,-33.8,151.09
Northern Suburbs MC,NSW,1690,0,0
Northern Suburbs MC,NSW,1691,0,0
Northern Suburbs MC,NSW,1692,0,0
Northern Suburbs MC,NSW,1693,0,0
